vehicle_id,vehicle_type,operator,line,speed,occupancy
986,bus,6,1112,9.87,0
1085,bus,6,86,4.73,0
2406,bus,12,743,15.36,0
1358,bus,22,539,8.13,0
2260,bus,12,138,10.51,0
1409,bus,22,68,5.38,0
262,bus,6,866,7.11,0
965,bus,6,56,10.37,0
965,bus,6,56,10.07,0
949,bus,22,237,8.38,0
1402,bus,22,245,10.58,0
1216,bus,22,945,3.56,0
421,tram,40,1145,11.32,0
1535,bus,12,91,9.05,0
665,bus,47,44,6.39,0
444,bus,6,911,4.97,0
662,bus,6,369,7.97,0
628,tram,40,1142,9.29,0
281,bus,6,1112,7.76,0
1053,bus,22,68,12.35,0
1138,bus,22,1072,7.84,0
430,bus,6,864,5.16,0
1409,bus,22,68,6.81,0
1045,train,90,292,26.8,0
927,bus,6,77,0.97,0
694,bus,6,1094,11.46,0
1032,train,90,292,17.49,0
1117,bus,22,1108,8.69,0
1064,train,90,292,19.29,0
965,bus,6,56,9.37,0
6301,train,90,286,20.96,0
638,bus,6,221,6.33,0
1216,bus,22,945,5.13,0
1081,bus,6,80,2.4,0
1068,train,90,292,5.5,0
928,bus,22,786,8.23,0
1005,bus,22,64,18.11,0
1068,bus,22,621,4.74,0
447,tram,40,992,2.93,0
1162,bus,22,1072,7.5,0
1059,train,90,279,3.55,0
1111,bus,22,1108,16.58,0
1535,bus,12,91,0.34,0
928,bus,22,786,10.72,0
121,tram,40,40,1.85,0
1404,bus,22,624,4.34,0
1025,bus,6,678,21.76,0
424,bus,6,938,9.26,0
444,bus,6,911,6.27,0
1212,bus,12,824,4.46,0
1409,bus,22,68,3.47,0
278,bus,6,866,0.81,0
1833,bus,12,743,16.03,0
1083,bus,6,80,11.94,0
194,bus,51,811,1.7,0
1033,train,90,636,20.58,0
1068,bus,22,621,4.25,0
928,bus,22,786,3.96,0
1240,bus,22,51,8.85,0
480,bus,6,942,14.66,0
3,bus,17,1095,6.01,0
427,bus,6,941,2.09,0
6324,train,90,286,0.03,0
1052,train,90,288,16.77,0
1057,train,90,636,17.59,0
1926,bus,12,226,4.68,0
414,bus,6,102,9.44,0
71,bus,17,98,5.41,0
1833,bus,12,743,16.21,0
