trip_id,route_id,start_time,start_date,direction,total_stops
,1059,2025-01-31 18:44:00,2025-01-30,2,36
,1001,2025-01-31 18:41:00,2025-01-30,1,31
,1025,2025-01-31 19:06:00,2025-01-30,1,24
,2162,2025-01-31 18:50:00,2025-01-30,1,26
,2158,2025-01-31 19:16:00,2025-01-30,1,39
,4735,2025-01-31 19:02:00,2025-01-30,1,45
,1041,2025-01-31 19:05:00,2025-01-30,1,26
,1020,2025-01-31 18:40:00,2025-01-30,2,26
,2200,2025-01-31 19:02:00,2025-01-30,1,33
,1092,2025-01-31 19:20:00,2025-01-30,2,1
,1077,2025-01-31 18:57:00,2025-01-30,1,29
,4561,2025-01-31 19:17:00,2025-01-30,1,61
,2015,2025-01-31 19:25:00,2025-01-30,1,1
,2510,2025-01-31 18:36:00,2025-01-30,1,36
,1079,2025-01-31 19:07:00,2025-01-30,1,45
,1009,2025-01-31 18:52:00,2025-01-30,1,28
,1084,2025-01-31 19:07:00,2025-01-30,1,15
,4400,2025-01-31 19:03:00,2025-01-30,1,29
,4300,2025-01-31 18:58:00,2025-01-30,1,29
,5530,2025-01-31 18:51:00,2025-01-30,2,35
,1052,2025-01-31 18:55:00,2025-01-30,2,41
,3001K,2025-01-31 19:21:00,2025-01-30,1,15
,4335,2025-01-31 18:34:00,2025-01-30,1,57
,5520,2025-01-31 18:24:00,2025-01-30,1,37
,1094,2025-01-31 19:19:00,2025-01-30,2,1
,2544,2025-01-31 18:29:00,2025-01-30,1,39
,1040,2025-01-31 19:10:00,2025-01-30,2,24
,9641,2025-01-31 19:00:00,2025-01-30,2,54
,1092,2025-01-31 19:05:00,2025-01-30,2,13
,1037,2025-01-31 18:52:00,2025-01-30,1,35
,2549,2025-01-31 19:18:00,2025-01-30,1,1
,2549,2025-01-31 19:03:00,2025-01-30,1,29
,4560,2025-01-31 18:13:00,2025-01-30,1,41
,4300,2025-01-31 18:31:00,2025-01-30,2,29
,2345,2025-01-31 19:05:00,2025-01-30,2,51
,4718A,2025-01-31 18:48:00,2025-01-30,1,40
,2114,2025-01-31 19:14:00,2025-01-30,2,38
,1095,2025-01-31 18:56:00,2025-01-30,1,25
,1003,2025-01-31 19:00:00,2025-01-30,2,31
,1006,2025-01-31 19:22:00,2025-01-30,1,1
,4562,2025-01-31 19:07:00,2025-01-30,1,43
,2533,2025-01-31 19:09:00,2025-01-30,2,44
,5584,2025-01-31 18:59:00,2025-01-30,2,47
,1037,2025-01-31 18:53:00,2025-01-30,2,37
,1003,2025-01-31 18:56:00,2025-01-30,1,32
,1002,2025-01-31 18:57:00,2025-01-30,2,27
,2239,2025-01-31 19:00:00,2025-01-30,2,50
,1071,2025-01-31 18:49:00,2025-01-30,1,29
,2502,2025-01-31 19:07:00,2025-01-30,1,23
,9978,2025-01-31 19:12:00,2025-01-30,2,15
,1065,2025-01-31 18:57:00,2025-01-30,1,25
,3001R,2025-01-31 18:55:00,2025-01-30,2,10
,1013,2025-01-31 19:10:00,2025-01-30,1,13
,1097V,2025-01-31 19:11:00,2025-01-30,2,22
,1081,2025-01-31 19:08:00,2025-01-30,2,19
,3001K,2025-01-31 19:12:00,2025-01-30,2,15
,2015,2025-01-31 19:15:00,2025-01-30,1,34
,4574,2025-01-31 19:03:00,2025-01-30,1,62
,1004,2025-01-31 18:48:00,2025-01-30,1,29
,2200,2025-01-31 18:32:00,2025-01-30,1,33
,1007,2025-01-31 19:07:00,2025-01-30,2,31
,1074,2025-01-31 18:52:00,2025-01-30,2,39
,1042,2025-01-31 19:19:00,2025-01-30,1,1
,1081,2025-01-31 19:08:00,2025-01-30,1,20
,2510,2025-01-31 18:40:00,2025-01-30,2,37
,2553,2025-01-31 19:14:00,2025-01-30,1,47
,5566,2025-01-31 19:01:00,2025-01-30,1,41
,2167,2025-01-31 19:08:00,2025-01-30,1,16
,1030,2025-01-31 18:22:00,2025-01-30,2,41
,4300,2025-01-31 19:11:00,2025-01-30,2,29
,2510,2025-01-31 19:16:00,2025-01-30,2,37
